age,annual_income,education_years,work_experience_years,credit_score,loan_amount,loan_duration_months,interest_rate,debt_to_income_ratio,monthly_expenses,savings_balance,investment_balance,number_of_dependents,employment_stability_years,housing_status_score,marital_status_score,health_risk_index,insurance_coverage_score,spending_score,online_activity_score,device_usage_hours,location_risk_index,previous_default_count,financial_literacy_score,loan_default
19,51140.40128,10,21,724.7481042,3899.654973,60,9.577175916,0.7336550053,2704.1611,11805.19041,16519.3352,2,9,5,3,0.6925601762,3,68,12,7.289109411,0.5400797469,1,68,0
24,69028.63147,8,19,655.6663389,21084.03281,48,8.383829865,0.7985513965,2611.106393,16913.19026,7685.012618,2,25,1,1,0.4691942046,3,62,5,5.108674425,0.007390429337,0,92,0
44,55186.37295,10,1,821.8745075,28297.79601,24,7.321765434,0.4540560477,2442.756164,15841.84867,32653.85957,2,22,3,1,0.001102407307,2,20,16,2.906073443,0.7041911498,1,52,0
31,61403.6515,12,16,715.4452941,38358.63527,12,5.997472868,0.5791869036,2369.382349,10444.24823,29316.3939,5,15,5,2,0.7535899481,2,65,80,2.938126806,0.7012585157,0,88,0
31,42536.55985,9,19,850,46599.67527,36,9.115590756,0.1357218618,2052.929537,9150.893057,34101.51475,4,19,1,1,0.3648493905,5,98,96,5.440192832,0.5244572654,0,58,0
47,48574.34139,16,31,665.4269896,1000,12,3.731231472,0.7476179665,2956.561362,3961.489022,18800.36325,3,24,5,2,0.6764706953,3,81,40,4.642626635,0.7266374805,1,44,0
46,56280.90977,8,32,643.35554,27340.80071,48,12.4926207,0.2618737155,2010.635316,26158.28095,7508.864586,2,16,1,3,0.8662231935,5,13,22,0.9301882912,0.3900727066,0,40,0
23,80746.26623,14,0,702.1594007,34547.17709,60,5.052900549,0.1415502025,1938.611672,16237.20114,18505.64951,4,6,2,3,0.7150679601,1,41,31,5.042802915,0.5858819547,0,24,0
30,52653.38828,19,26,700.0567777,34487.72393,12,15.58600994,0.05655431057,1609.162038,11303.95429,6027.136828,4,20,5,3,0.9669613055,2,40,53,3.45838213,0.4616765658,0,12,0
46,35315.42416,11,15,571.4027327,27099.22998,36,7.232930758,0.7648541213,1693.493904,16746.59233,25715.26023,2,9,5,1,0.7509782153,5,26,74,11.73392628,0.538514797,0,73,0
20,72012.06492,18,26,702.871185,20288.59565,36,17.43645149,0.4582335645,2038.789173,23024.53822,6534.122595,2,6,5,3,0.131495098,1,66,30,6.526059637,0.94284436,0,76,0
31,79471.92422,18,0,627.2250955,20393.89685,24,13.75295963,0.3171480368,2499.174635,29090.43644,34662.75455,3,4,1,1,0.2352820406,3,25,30,8.817985205,0.5214852858,1,95,0
45,54776.37967,9,11,815.1246878,27921.02672,12,10.7262363,0.1192217547,2677.696257,24971.13844,33745.50103,1,7,4,1,0.6290248884,3,88,61,9.849380401,0.4390492792,0,20,0
50,61363.12717,9,2,718.7303392,17167.72358,60,3.423076425,0.4401832797,1393.266233,28938.08358,29422.11713,3,10,3,2,0.04869152029,1,13,46,1.909842221,0.7076386406,0,30,0
25,66647.40276,14,14,680.5205309,24292.81848,48,6.290163093,0.4342170867,2447.818489,0,14370.92083,5,24,1,1,0.950103524,1,2,20,9.880898362,0.3784805645,0,61,0
50,36032.99133,18,7,608.2772155,45283.40695,24,12.73917948,0.5193341965,3879.287061,12184.80007,44322.84787,3,22,4,1,0.727613946,2,6,69,0.5032204368,0.2726713814,1,34,0
25,53708.76677,19,32,680.3394625,41345.66539,48,10.383176,0.6653020617,1901.237783,6717.419843,11609.8749,5,1,1,1,0.4914557683,3,49,73,1.434579014,0.4690599685,0,54,0
38,58196.13277,16,28,731.4484895,47465.14309,48,9.069458223,0.3750295801,3705.768949,19077.30828,0,0,9,5,1,0.3012333705,1,60,95,8.072280858,0.3344283151,0,61,0
51,81626.33852,11,6,759.8229316,17769.06528,12,7.916533579,0.6669882027,3344.694357,20143.99339,27338.78564,5,27,5,2,0.09415356904,3,26,72,6.157781665,0.03414858829,0,83,0
56,68425.62732,18,3,570.1829688,1000,48,5.464302298,0.6759944591,1307.841289,17576.04089,17120.36719,0,13,5,3,0.3700585927,2,51,74,6.413619317,0.1161529895,0,60,0
43,83907.34171,19,13,657.9163899,1000,24,7.74759872,0.5058269089,2067.850645,22618.70403,22915.13371,5,28,1,2,0.06506698227,2,60,53,6.891475542,0.8743901039,0,88,0
22,62964.94563,18,4,702.0360354,53188.14283,12,7.423168345,0.6375592209,2367.069549,6785.601997,24873.96203,3,6,3,2,0.06883039887,2,40,47,4.791221948,0.6445375942,1,91,0
35,81929.48021,19,4,657.8036215,31292.23973,12,12.35153575,0.869999108,5295.999796,30776.61352,33526.3438,4,14,2,2,0.5916713327,4,30,75,0.8021653906,0.632128995,0,42,0
27,65535.68273,18,19,640.6694063,35358.47454,12,7.803868752,0.3789415071,1995.394159,24144.39803,0,2,28,2,1,0.8928791602,3,3,50,11.61775473,0.1799185694,0,15,0
33,48595.99471,14,3,632.1961324,47007.12078,60,11.06187656,0.1561822536,1843.743779,1306.212301,2400.467871,3,16,1,1,0.04047896504,2,59,30,2.709980466,0.5745001397,0,28,0
47,64564.52373,13,23,687.8694813,5700.370642,60,15.78722161,0.1901726547,1611.383707,29582.91837,20477.73081,5,29,5,2,0.09690076337,4,100,9,1.446788367,0.7935919733,0,28,0
38,63355.78068,9,22,613.4875438,43154.37603,36,17.12929837,0.3971959524,2138.553706,14695.88845,24766.73478,3,7,3,2,0.6701145969,1,2,12,8.393601692,0.4392388361,0,73,0
59,67049.67414,17,6,668.5174755,46377.37877,12,17.67435497,0.05904053423,2581.171082,21415.95999,35787.55878,4,8,2,3,0.6818255512,3,65,3,9.424108589,0.6955320921,2,31,0
49,101397.4733,15,10,720.3668315,11299.81868,60,5.203324483,0.5249959795,2141.553452,24774.89505,21151.55365,0,5,1,1,0.333718429,4,69,45,10.51106914,0.4527315536,0,52,0
47,84398.08611,19,17,692.6652081,34282.02623,24,14.65674297,0.6689769168,2455.594024,21981.7316,13612.20819,0,22,1,1,0.700715362,1,91,84,7.528096903,0.7964110268,1,50,0
24,86004.26312,13,0,620.7889392,12593.28088,12,15.51269276,0.8006053453,1946.386626,17801.36757,28799.22319,3,5,4,1,0.116331262,5,16,94,8.295517109,0.2772450716,1,20,0
58,55634.15474,10,12,702.5259218,20680.04506,12,17.43441208,0.5920641798,1269.244175,6667.292701,14057.68609,2,2,1,3,0.2470891374,5,78,98,1.30074133,0.04426106037,0,18,0
18,21905.5378,11,8,637.0604306,18298.2006,48,15.7415691,0.3608761604,3111.125379,10015.74528,8612.465559,4,11,5,1,0.7762120666,2,18,52,3.844080167,0.7920099924,1,95,0
33,80822.78433,15,30,639.2224571,31634.78102,60,14.62984749,0.3870573569,1432.023485,11904.43403,23290.2533,4,2,3,1,0.2197057008,4,60,94,5.259004655,0.2887035259,0,27,0
21,70650.56355,15,37,672.3993858,27026.00657,12,12.54393683,0.6228240809,333.4448559,14153.39278,11350.14857,1,13,2,2,0.5874306847,3,79,67,7.665288844,0.3743613759,1,12,0
54,24423.43036,15,34,760.3356569,32741.97705,12,14.7192424,0.6859026479,3197.917482,13556.56115,2347.77164,2,14,3,2,0.04460667249,4,90,20,3.960461874,0.4752763645,0,34,0
51,75281.09399,14,4,659.5555583,15789.21436,12,9.718022123,0.3876697593,2505.737085,13177.25259,12115.13584,5,16,3,1,0.8275556515,2,52,19,3.518151006,0.2030510692,1,53,0
55,59430.83895,16,14,662.3649993,29450.94142,12,15.25917705,0.5491907139,1354.089742,25921.40852,45276.80007,0,27,4,1,0.8851655078,4,54,60,5.273944041,0.102836949,0,97,0
27,51578.77666,18,37,727.9046601,38341.56198,12,15.85178166,0.7221559974,1267.683304,19559.78778,39987.48498,0,1,5,3,0.5894281873,4,79,62,2.471915238,0.9138801407,0,62,0
42,75850.81469,13,6,778.5913183,39783.57595,12,4.274216061,0.1888318766,2422.521731,18491.68697,13867.18268,5,26,2,1,0.7247650222,5,25,92,2.257522779,0.9767010173,0,24,0
37,35327.19218,12,5,582.4447231,23637.90683,12,16.33704282,0.1927041919,2436.747938,2860.633221,3474.690245,0,2,5,3,0.6884555687,4,87,6,10.9473754,0.4006935425,0,56,0
52,74754.32416,13,21,736.4245383,34577.19425,48,9.816534089,0.4731015043,1732.585691,0,22361.83116,3,14,5,1,0.1648729744,2,91,18,4.641192524,0.4759644877,0,57,0
53,74941.79774,12,13,716.5189601,24165.21168,24,6.69833143,0.8839149299,2966.921012,4795.232236,4975.740769,0,10,3,2,0.0862915558,2,75,1,4.437600903,0.1967942791,0,55,0
42,62098.87317,18,2,664.1082567,47551.76076,12,14.1700727,0.3721181301,1305.295666,24623.25303,13124.68473,0,25,4,3,0.2353739426,4,45,56,7.522477273,0.3595161078,0,62,0
49,59341.62802,16,23,639.5419981,31542.38116,60,7.77137896,0.1865083998,3359.26684,22213.7623,25124.97041,4,17,2,3,0.06078534343,1,35,42,7.75497349,0.3772466439,1,76,0
21,57518.47736,15,29,748.1414012,46482.66403,48,8.27362151,0.6125979037,2157.441788,0,42992.41617,5,24,4,1,0.9850833425,4,1,84,2.326923891,0.7478148333,1,82,0
27,52743.28357,19,28,771.4987862,7907.025144,36,3.382301044,0.313520877,2339.646214,25384.7997,23407.38459,1,0,1,2,0.6384427423,5,9,37,1.405173189,0.8151300722,0,79,0
56,67658.29847,14,27,646.1294015,16687.30625,12,3.343639701,0.2759677804,1160.571242,7842.292692,5084.393566,1,29,3,2,0.9129724249,5,11,99,10.73710714,0.6505638483,0,32,0
50,71138.26676,12,19,533.8656188,13647.89613,60,9.123320805,0.1825839269,1973.026654,19186.45066,18636.49866,1,20,1,2,0.6041030916,1,86,24,8.503649766,0.488355384,1,49,0
63,58246.94648,14,21,582.371666,25016.59579,24,15.00075661,0.6414161365,2934.389942,0,0,5,27,5,3,0.07151039068,4,99,80,3.694887123,0.5280451286,0,52,0
55,84111.69856,17,37,690.6412813,35210.57437,12,9.475512278,0.746725097,1955.361274,19483.89302,28122.6097,4,9,3,2,0.07457594325,4,88,58,5.172673966,0.9566938483,0,73,0
40,55756.37385,16,26,717.1616396,5511.265904,36,16.97050825,0.4321144714,3515.607834,6620.86671,20019.49291,1,10,3,3,0.754193468,3,45,87,4.794540355,0.2203677897,0,42,0
42,60892.28939,11,14,702.0607148,22629.05082,12,13.9404897,0.2467008557,1369.096546,11096.24782,31625.25002,1,23,2,2,0.7349342124,2,78,72,7.717387318,0.07529734538,0,17,0
33,51108.75845,16,8,658.8151273,23497.22665,24,14.5294737,0.07686847509,4305.294368,22426.04676,30473.87121,1,24,5,2,0.8350105807,3,69,100,5.248058424,0.7853531652,0,60,0
29,75139.32897,12,2,640.8622349,39859.15025,12,3.030718698,0.2886469296,2488.08387,24003.29865,0,0,22,3,3,0.91222032,2,25,69,7.526787227,0.8626930278,0,67,0
29,48418.53781,18,17,661.5575961,26333.85746,24,15.29242172,0.2232760584,3659.91531,25463.56852,27189.65201,3,9,5,1,0.7604243223,1,1,94,7.343396994,0.3051722651,1,63,0
47,52830.53658,17,38,642.9934144,20771.13621,60,17.56500303,0.6094767271,2319.904136,0,344.9957244,2,18,5,2,0.3660551463,3,94,65,4.231912004,0.4503739912,2,67,0
30,61508.32995,18,7,688.2187545,9949.323891,12,14.69032715,0.2212833033,3308.877049,27062.11626,19101.42303,1,25,4,3,0.9185822379,2,2,34,0.6311459234,0.7184124979,0,23,0
32,58977.37273,13,5,679.0887374,16962.34292,12,9.032423677,0.5942084707,2655.683381,19359.60257,13620.97789,2,11,1,1,0.4087470418,1,23,67,2.103607436,0.2605834194,0,14,0
25,86097.51143,14,10,637.1509055,28653.66007,60,5.421332029,0.856971343,1923.749745,23624.01175,35731.27632,4,5,3,1,0.8041759647,5,21,81,5.360328453,0.7929817261,0,18,0
50,51376.49663,17,34,617.9260883,19416.35417,60,3.586652149,0.07120027912,3309.749302,14173.64295,19724.6617,1,23,5,3,0.2555164776,4,77,39,9.0784139,0.04780699991,3,83,0
25,69999.28515,16,15,767.9424995,25269.66895,60,16.31663634,0.6362537586,2745.336681,16406.22803,18510.29757,4,11,3,2,0.5066690353,3,68,97,7.68539165,0.6806648781,1,53,0
20,61249.10707,8,21,642.1182535,19311.89131,48,9.856048597,0.1947034481,1987.302457,25775.0299,30418.06651,5,29,2,2,0.591096814,5,35,39,8.033866469,0.9610995976,1,17,0
38,76050.23549,8,24,671.0541072,27876.19733,60,3.3083756,0.5681504572,2223.268094,13155.96616,23823.77027,2,11,2,1,0.504249821,3,65,18,7.03164857,0.1909638416,0,10,0
54,46018.69118,17,33,769.1982554,35490.13866,24,11.9061793,0.7436674999,2342.566933,9274.589764,35898.26753,5,16,1,2,0.9759018718,4,90,54,1.392858202,0.7337080771,1,77,0
50,36543.21552,11,17,612.6102008,31892.37157,12,14.35148455,0.2813348453,2015.559387,7062.759354,15814.33472,4,26,2,1,0.548598459,5,6,91,3.69963717,0.9201232405,0,100,0
38,18008.0004,18,4,720.6207849,23741.35182,12,6.823131996,0.8718027872,2798.890515,11206.18777,4717.019955,0,23,4,1,0.6274776433,4,35,38,5.046695943,0.554279595,1,20,0
51,36614.00817,10,33,727.347679,29971.7475,60,5.461010291,0.7317902309,1677.984308,4847.108176,18492.09727,5,0,4,3,0.4008884352,2,96,63,6.700912881,0.87422726,0,100,0
20,75687.85333,10,22,666.9638329,13389.29054,36,13.34773568,0.4237183,1058.40114,29132.94084,46945.92463,2,14,5,1,0.8455107743,5,34,23,2.846936004,0.6344190045,1,11,0
33,82971.19578,18,21,677.6669844,7275.817795,48,8.280654194,0.7224257779,1257.729782,8173.363117,12370.34391,5,1,5,1,0.4362409254,5,90,70,3.860733872,0.8965696632,1,53,0
18,72356.25317,15,9,731.4705604,25996.01327,48,12.08646704,0.2372739088,4086.20607,31456.61605,47511.61885,5,19,2,1,0.3881434408,4,40,75,9.027740029,0.9459723375,0,63,0
32,57443.29498,17,12,659.5960716,46861.65759,60,8.259028246,0.3902249492,3120.914352,18923.71019,18101.56821,1,24,3,3,0.5701488595,5,85,1,2.563356457,0.1990643053,0,52,0
61,53014.74007,8,13,698.0410146,43735.13483,48,15.90482781,0.8759043445,2717.470631,15638.27711,42894.93762,1,25,4,1,0.1936173817,3,18,91,10.48199169,0.8230529005,0,53,0
51,70736.55407,19,7,667.8529171,43309.51543,36,9.867960252,0.1787609759,1452.493122,19161.6087,11712.22918,1,14,2,3,0.7630274961,5,75,4,7.801319846,0.1666390094,1,94,0
32,50905.36524,14,9,690.9778921,44062.90714,12,11.61287209,0.5044589585,2882.942245,3665.532248,2354.950034,5,28,4,2,0.3930364885,2,15,1,5.886522886,0.1588860109,1,19,0
48,65476.87684,18,0,546.2029429,30804.5723,36,15.53345635,0.1186252896,3093.139541,20090.93301,4647.879804,0,25,4,1,0.8553928283,1,75,97,4.014488447,0.4450957752,2,65,0
50,63244.59812,9,0,556.9519991,10224.79823,24,10.2379236,0.3672842672,3351.866571,14564.40455,27020.58309,0,8,3,1,0.2745026486,3,31,81,3.18727858,0.6102809027,0,96,0
21,39813.71907,9,18,756.8690222,27975.68008,24,6.722926467,0.3136264986,1660.551928,9588.013547,36312.09892,4,8,4,3,0.948407388,3,68,50,8.911778442,0.8063004156,0,62,0
37,83723.50202,9,4,732.5026513,17280.75486,60,14.55540413,0.7140985643,1941.165773,28440.21544,37120.69137,1,24,5,3,0.3412708686,1,48,38,8.302940267,0.8764462229,1,91,0
20,57277.23193,12,37,686.1829237,1000,12,9.290535442,0.1400964549,2929.802986,21379.74853,44756.55901,5,2,5,1,0.1016945349,2,86,91,7.447458856,0.1124579748,0,1,0
43,49288.63512,18,33,651.704118,23725.89565,36,7.770140208,0.3492332866,2448.591416,25531.88799,41295.39075,2,0,3,1,0.7755578976,5,49,45,4.113593922,0.8723065579,0,43,0
23,60067.09149,14,18,625.4008142,23895.64518,48,3.260894131,0.7931919184,3748.827372,8504.149465,13115.8481,5,14,2,1,0.1883864506,2,73,20,8.919924404,0.3257959449,2,75,0
55,56168.25247,18,21,635.6078805,14133.06902,60,3.384081602,0.5728327649,1974.75384,27669.23726,18305.55489,4,16,2,2,0.4525926095,5,27,5,4.308822533,0.8397544446,0,55,0
32,49538.75066,17,36,688.8740526,59622.96301,12,6.058112605,0.2271948875,1094.785494,29844.837,26185.27379,0,23,5,1,0.06950847959,3,88,3,7.055923901,0.9858180394,1,11,0
57,44017.73943,14,31,712.8681131,12868.01347,36,9.760574771,0.6321246098,2100.805896,18457.53072,13853.47869,5,25,4,1,0.1110529945,5,77,48,4.675342296,0.2050356494,0,10,0
62,65322.93757,14,32,725.0017171,18025.82988,48,3.391383477,0.6263791276,1965.509011,0,18480.7689,2,27,3,3,0.3308104194,2,92,82,2.212600544,0.6626971377,0,48,0
41,68064.27538,18,21,747.777913,28661.53491,48,9.473266797,0.8846025362,2152.723744,0,42333.86583,1,23,2,3,0.3989832713,2,87,29,8.52841264,0.1973911597,0,74,0
21,47748.5882,8,6,762.2479942,57606.95478,24,3.808249932,0.05801315863,1760.971056,9870.663328,22370.44759,5,21,3,2,0.6782475921,3,45,48,9.401849111,0.5191839158,0,69,0
39,73966.92097,10,13,763.7031704,35028.87065,12,10.31570948,0.1181391183,2129.242796,8690.985752,20047.44616,5,25,4,3,0.749210422,5,81,15,11.66467526,0.8925727576,0,6,0
51,54565.11623,17,29,713.5847941,47513.14768,60,4.96741359,0.1803000763,3006.887105,12650.42841,30394.77382,0,2,4,2,0.2811318014,2,46,47,10.72219853,0.2136437819,0,14,0
55,55522.7837,10,30,635.070723,14101.84227,60,14.921784,0.2758550935,3140.640227,8265.361745,28004.30148,0,7,2,2,0.01718820831,3,77,26,4.476458243,0.8873195774,0,39,0
47,67207.67388,13,8,648.8968933,21772.86472,48,10.70058621,0.2063930048,3092.832785,18688.83439,20143.1186,3,20,2,2,0.8691003076,3,36,1,3.147566704,0.6171837036,0,84,0
35,41551.22033,15,18,690.327364,24437.73085,24,4.506768382,0.4608493449,2792.137596,18829.79322,16254.40018,1,5,2,2,0.9857847638,5,54,28,7.428411471,0.791757525,2,43,0
52,65350.17134,12,0,609.815208,25165.70385,48,7.889131674,0.07088922861,300,16420.42201,17688.65609,1,2,3,1,0.4278821465,2,48,69,4.305044391,0.1590072739,0,4,0
